K03181	ubiC; chorismate lyase [EC:4.1.3.40]
K18240	xanB2; chorismate lyase / 3-hydroxybenzoate synthase [EC:4.1.3.40 4.1.3.45]
K03179	ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K03182	ubiD; 4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
K03186	ubiX, bsdB, PAD1; flavin prenyltransferase [EC:2.5.1.129]
K18800	ubiI; 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]
K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K03185	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
K03183	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
K03184	ubiF; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K06134	COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
