Genome,Kingdom,Phylum,Class,Order,Family,Genus,Species
GUT_GENOME000001.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Peptostreptococcaceae                  ,GCA-900066495                          ,                                       
GUT_GENOME000010.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Anaerotruncus                          ,Anaerotruncus colihominis              
GUT_GENOME000024.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Lactobacillaceae                       ,Ligilactobacillus                      ,Ligilactobacillus murinus              
GUT_GENOME000049.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Anaerotignaceae                        ,Anaerotignum                           ,Anaerotignum sp001304995               
GUT_GENOME000057.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Enterobacterales                       ,Enterobacteriaceae                     ,Enterobacter                           ,                                       
GUT_GENOME000064.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Lactobacillaceae                       ,Latilactobacillus                      ,Latilactobacillus curvatus             
GUT_GENOME000067.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Lactobacillaceae                       ,Limosilactobacillus                    ,Limosilactobacillus vaginalis_A        
GUT_GENOME000069.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Lactobacillaceae                       ,Leuconostoc                            ,Leuconostoc mesenteroides              
GUT_GENOME000094.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Streptococcaceae                       ,Streptococcus                          ,Streptococcus parasanguinis            
GUT_GENOME000109.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Erysipelotrichales                     ,Erysipelatoclostridiaceae              ,Catenibacterium                        ,Catenibacterium mitsuokai              
GUT_GENOME000137.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,Massilimaliae                          ,Massilimaliae timonensis               
GUT_GENOME000139.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A hydrogenotrophica            
GUT_GENOME000147.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Haloplasmatales                        ,Turicibacteraceae                      ,Turicibacter                           ,Turicibacter sp001543345               
GUT_GENOME000187.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Phocaeicola                            ,Phocaeicola sp900066445                
GUT_GENOME000198.fna,Bacteria                               ,Firmicutes_C                           ,Negativicutes                          ,Veillonellales                         ,Megasphaeraceae                        ,Megasphaera                            ,Megasphaera stantonii                  
GUT_GENOME000203.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Peptostreptococcaceae                  ,GCA-900066495                          ,GCA-900066495 sp900066495              
GUT_GENOME000205.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp900066505                  
GUT_GENOME000215.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,GCA-900066575                          ,GCA-900066575 sp900066385              
GUT_GENOME000220.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Rikenellaceae                          ,Alistipes                              ,Alistipes sp002358415                  
GUT_GENOME000221.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides acidifaciens               
GUT_GENOME000224.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Muribaculaceae                         ,Muribaculum                            ,Muribaculum intestinale                
GUT_GENOME000225.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Muribaculaceae                         ,Muribaculum                            ,Muribaculum sp002358615                
GUT_GENOME000231.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides sp002491635                
GUT_GENOME000232.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Eubacterium_I                          ,Eubacterium_I sp900066595              
GUT_GENOME000236.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,Lawsonibacter                          ,Lawsonibacter sp900066645              
GUT_GENOME000246.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Anaerovoracaceae                       ,Emergencia                             ,Emergencia sp900066695                 
GUT_GENOME000247.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Peptostreptococcaceae                  ,Intestinibacter                        ,Intestinibacter bartlettii             
GUT_GENOME000248.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Clostridiales                          ,Clostridiaceae                         ,Clostridium                            ,Clostridium baratii                    
GUT_GENOME000250.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Anaerostipes                           ,Anaerostipes sp900066705               
GUT_GENOME000254.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Dorea                                  ,Dorea longicatena_B                    
GUT_GENOME000259.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,GCA-900066755                          ,GCA-900066755 sp900066755              
GUT_GENOME000260.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Dorea                                  ,Dorea sp900066765                      
GUT_GENOME000271.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,Pseudoflavonifractor                   ,Pseudoflavonifractor capillosus        
GUT_GENOME000272.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,UBA1394                                ,UBA1394 sp900066845                    
GUT_GENOME000290.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Peptostreptococcaceae                  ,GCA-900066935                          ,GCA-900066935 sp900066925              
GUT_GENOME000299.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Anaerobutyricum                        ,Anaerobutyricum hallii_A               
GUT_GENOME000314.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Peptostreptococcales                   ,Peptostreptococcaceae                  ,Paraclostridium                        ,Paraclostridium bifermentans           
GUT_GENOME000330.fna,Bacteria                               ,Actinobacteriota                       ,Actinomycetia                          ,Mycobacteriales                        ,Mycobacteriaceae                       ,Corynebacterium                        ,Corynebacterium propinquum             
GUT_GENOME000337.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Pseudomonadales                        ,Moraxellaceae                          ,Acinetobacter                          ,Acinetobacter fasciculus               
GUT_GENOME000426.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Blautia_A                              ,Blautia_A sp900066205                  
GUT_GENOME000448.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Ruminococcaceae                        ,CAG-353                                ,CAG-353 sp900066885                    
GUT_GENOME000459.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,Lawsonibacter                          ,                                       
GUT_GENOME000469.fna,Bacteria                               ,Proteobacteria                         ,Gammaproteobacteria                    ,Burkholderiales                        ,Burkholderiaceae                       ,Achromobacter                          ,Achromobacter xylosoxidans             
GUT_GENOME000479.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,UBA7160                                ,                                       
GUT_GENOME000484.fna,Bacteria                               ,Actinobacteriota                       ,Coriobacteriia                         ,Coriobacteriales                       ,Coriobacteriaceae                      ,Collinsella                            ,                                       
GUT_GENOME000493.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,Dorea                                  ,Dorea formicigenerans                  
GUT_GENOME000496.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Lachnospirales                         ,Lachnospiraceae                        ,GCA-900066755                          ,                                       
GUT_GENOME000508.fna,Bacteria                               ,Firmicutes                             ,Bacilli                                ,Lactobacillales                        ,Lactobacillaceae                       ,Leuconostoc                            ,Leuconostoc pseudomesenteroides_A      
GUT_GENOME000511.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides fragilis                   
GUT_GENOME000513.fna,Bacteria                               ,Bacteroidota                           ,Bacteroidia                            ,Bacteroidales                          ,Bacteroidaceae                         ,Bacteroides                            ,Bacteroides bouchesdurhonensis         
GUT_GENOME000518.fna,Bacteria                               ,Firmicutes_A                           ,Clostridia                             ,Oscillospirales                        ,Oscillospiraceae                       ,Flavonifractor                         ,Flavonifractor plautii                 
