K00844	HK; hexokinase [EC:2.7.1.1]
K12407	GCK; glucokinase [EC:2.7.1.2]
K00845	glk; glucokinase [EC:2.7.1.2]
K25026	glk; glucokinase [EC:2.7.1.2]
K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]
K08074	ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]
K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]
K06859	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
K16370	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]
K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
K11645	fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
K16306	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00150	gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
K11389	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K15634	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K01689	ENO, eno; enolase [EC:4.2.1.11]
K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]
K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]
