Genome,World-wide Prevalence,World-wide Abundance,Hadza Prevalence,Hadza Abundance,Hunter-gatherer Lifestyle Prevalence,Hunter-gatherer Lifestyle Abundance,Transitional lifestyle prevalence,Transitional Lifestyle Abundance,Industrial Lifestyle Prevalence,Industrial Lifestyle Abundance,GTDB Taxonomy,Phylum,Species name,New species compared to UHGG?,P-value?,#NAME?,Change in prevalence,Percentile Rank,Special Taxa?
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_N_11_1304.97.fa,0.235555556,1.40E-05,0.940740741,2.97E-05,0.719101124,2.23E-05,0.387650086,7.39E-06,0.006315789,1.87E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000436915,Bacteroidota,Prevotella sp000436915,FALSE,2.98E-147,146.5260578,-0.934424951,100,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_16_2355.3.fa,0.089444444,3.41E-06,0.896296296,4.20E-06,0.520599251,3.82E-06,0.036020583,8.27E-07,0.001052632,8.56E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp003436425,Firmicutes,Holdemanella sp003436425,FALSE,2.01E-143,142.697566,-0.895243665,99.95954693,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_9_1942.181.fa,0.206666667,1.26E-05,0.918518519,2.83E-05,0.655430712,2.21E-05,0.324185249,4.17E-06,0.008421053,3.16E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__C941;s__C941 sp004557565,Bacteroidota,C941 sp004557565,FALSE,6.86E-139,138.1639199,-0.910097466,99.91909385,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_14_1915.122.fa,0.105555556,1.35E-06,0.866666667,1.80E-06,0.543071161,1.58E-06,0.075471698,6.34E-07,0.001052632,2.53E-07,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__,Firmicutes,Bulleidia sp.,FALSE,2.30E-136,135.6389513,-0.865614035,99.87864078,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_21_1740.190.fa,0.098333333,5.13E-06,0.874074074,6.54E-06,0.550561798,5.70E-06,0.048027444,2.17E-06,0.002105263,4.06E-06,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__,Firmicutes_A,Mediterraneibacter sp.,FALSE,2.54E-136,135.5949389,-0.871968811,99.8381877,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.179.fa,0.067777778,4.29E-06,0.851851852,4.53E-06,0.453183521,4.32E-06,0.001715266,3.77E-07,0,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__,Firmicutes,Bulleidia sp.,TRUE,4.90E-135,134.3094393,-0.851851852,99.79773463,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_H_1_THA1057JZ.24.fa,0.315,1.88E-05,0.940740741,1.91E-05,0.812734082,1.59E-05,0.560891938,2.15E-05,0.024210526,7.70E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,Bacteroidota,Prevotella sp.,FALSE,2.76E-130,129.5590518,-0.916530214,99.75728155,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_J_1_RAJ1015YZ.230.fa,0.247777778,9.37E-07,0.881481481,1.60E-06,0.647940075,1.29E-06,0.452830189,7.24E-07,0.009473684,3.33E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,Firmicutes_A,Faecalibacterium sp.,TRUE,1.06E-128,127.9731496,-0.872007797,99.71682848,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_1_1719.11.fa,0.060555556,1.32E-06,0.807407407,1.32E-06,0.4082397,1.32E-06,0,,0,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__,Firmicutes,Bulleidia sp.,TRUE,2.52E-125,124.598922,-0.807407407,99.6763754,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_5_2654.144.fa,0.161111111,6.81E-06,0.822222222,1.29E-05,0.535580524,1.09E-05,0.246998285,2.84E-06,0.003157895,3.29E-06,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900548745,Bacteroidota,Prevotella sp900548745,FALSE,3.84E-123,122.4156584,-0.819064327,99.63592233,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.131.fa,0.116666667,1.90E-06,0.814814815,2.96E-06,0.576779026,2.35E-06,0.092624357,6.82E-07,0.002105263,3.29E-07,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger variabilis_B,Firmicutes_A,Gemmiger variabilis_B,FALSE,3.96E-123,122.4022551,-0.812709552,99.59546926,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_4_2616.22.fa,0.072222222,2.73E-05,0.792592593,3.12E-05,0.441947566,2.94E-05,0.02058319,6.25E-06,0,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251295,Bacteroidota,Prevotella sp002251295,FALSE,3.18E-122,121.4972104,-0.792592593,99.55501618,VANISH
REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_5_1538.51.fa,0.102777778,5.95E-06,0.822222222,6.49E-06,0.494382022,5.97E-06,0.082332762,5.06E-06,0.005263158,1.41E-05,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900546625,Firmicutes_A,Agathobacter sp900546625,FALSE,2.44E-120,119.6130849,-0.816959064,99.51456311,VANISH
