K01490	AMPD; AMP deaminase [EC:3.5.4.6]
K01081	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]
K19970	NT5E, CD73; 5'-nucleotidase [EC:3.1.3.5]
K03787	surE; 5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]
K18550	ISN1; IMP and pyridine-specific 5'-nucleotidase [EC:3.1.3.99 3.1.3.-]
K11751	ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
K02566	nagD; 5'-nucleotidase [EC:3.1.3.5]
K08693	yfkN; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]
K01488	add, ADA; adenosine deaminase [EC:3.5.4.4]
K19572	CECR1, ADA2; adenosine deaminase CECR1 [EC:3.5.4.4]
K05810	LACC1, yfiH; purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
K03783	punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]
K03784	deoD; purine-nucleoside phosphorylase [EC:2.4.2.1]
K09913	ppnP; purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]
K05810	LACC1, yfiH; purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
K00106	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K13479	ygeT, xdhB; xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K13480	ygeU, xdhC; xanthine dehydrogenase iron-sulfur-binding subunit
K13481	xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13482	xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]
K11177	yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]
K11178	yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]
K13483	yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit
