K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]
K01658	trpG; anthranilate synthase component II [EC:4.1.3.27]
K13497	trpGD; anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K13503	trpEG; anthranilate synthase [EC:4.1.3.27]
K13501	TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
K01656	TRP3; anthranilate synthase / indole-3-glycerol phosphate synthase [EC:4.1.3.27 4.1.1.48]
K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K13497	trpGD; anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]
K24017	priA; phosphoribosyl isomerase A [EC:5.3.1.16 5.3.1.24]
K13498	trpCF; indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K13501	TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
K01609	trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
K13498	trpCF; indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K13501	TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
K01656	TRP3; anthranilate synthase / indole-3-glycerol phosphate synthase [EC:4.1.3.27 4.1.1.48]
K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
K06001	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
K01694	TRP; tryptophan synthase [EC:4.2.1.20]
